SETTING_ID,CN,MEASUREMENT_DATE,MEASUREMENT_NO,PURPOSE_CODE,EXP_F,REMARKS,NBR,SUBPOP,MINV,MAXV
01040199040016,626768010259,10/01/1986,1,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040199040016,626768010259,10/01/1986,1,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040199040016,626818010259,07/01/1991,2,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040199040016,626818010259,07/01/1991,2,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040199040016,626781010259,10/02/1986,1,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040199040016,626781010259,10/02/1986,1,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040199040016,626831010259,07/02/1991,2,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040199040016,626831010259,07/02/1991,2,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040199040018,626868010259,09/01/1986,1,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040199040018,626868010259,09/01/1986,1,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040199040018,626918010259,07/01/1991,2,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040199040018,626918010259,07/01/1991,2,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040199040018,626881010259,09/02/1986,1,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040199040018,626881010259,09/02/1986,1,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040199040018,626931010259,07/02/1991,2,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040199040018,626931010259,07/02/1991,2,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040359030010,631954010259,10/01/1984,1,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040359030010,631954010259,10/01/1984,1,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040359030010,632004010259,09/01/1989,2,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040359030010,632004010259,09/01/1989,2,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040359030010,632054010259,08/01/1994,3,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040359030010,632054010259,08/01/1994,3,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040359030010,632104010259,09/01/2001,4,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040359030010,632104010259,09/01/2001,4,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040359030010,631967010259,10/02/1984,1,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040359030010,631967010259,10/02/1984,1,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040359030010,632017010259,09/02/1989,2,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040359030010,632017010259,09/02/1989,2,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040359030010,632067010259,08/02/1994,3,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040359030010,632067010259,08/02/1994,3,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040359030010,632117010259,09/02/2001,4,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040359030010,632117010259,09/02/2001,4,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040360050001,632154010259,10/01/1983,1,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040360050001,632154010259,10/01/1983,1,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040360050001,632204010259,09/01/1988,2,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040360050001,632204010259,09/01/1988,2,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040360050001,632254010259,08/01/1993,3,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040360050001,632254010259,08/01/1993,3,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040360050001,632167010259,10/02/1983,1,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040360050001,632167010259,10/02/1983,1,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040360050001,632217010259,09/02/1988,2,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040360050001,632217010259,09/02/1988,2,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040360050001,632267010259,08/02/1993,3,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040360050001,632267010259,08/02/1993,3,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040623020038,634336010259,06/01/1986,1,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040623020038,634336010259,06/01/1986,1,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040623020038,634386010259,06/01/1991,2,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040623020038,634386010259,06/01/1991,2,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040623020038,634349010259,07/02/1986,1,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040623020038,634349010259,07/02/1986,1,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040623020038,634399010259,06/02/1991,2,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040623020038,634399010259,06/02/1991,2,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040715040007,636740010259,08/01/1988,1,CP,20,LARGE TREE PLOT,1,DBH,2,9999.9
01040715040007,636740010259,08/01/1988,1,CP,300,SMALL TREE PLOT,2,DBH,0,1.9
01040715040007,636790010259,07/01/1993,2,CP,20,LARGE TREE PLOT,1,DBH,2,9999.9
01040715040007,636790010259,07/01/1993,2,CP,300,SMALL TREE PLOT,2,DBH,0,1.9
01040715040007,636840010259,05/01/2000,3,CP,20,LARGE TREE PLOT,1,DBH,2,9999.9
01040715040007,636840010259,05/01/2000,3,CP,300,SMALL TREE PLOT,2,DBH,0,1.9
01040715040007,636753010259,08/02/1988,1,TP,20,LARGE TREE PLOT,1,DBH,2,9999.9
01040715040007,636753010259,08/02/1988,1,TP,300,SMALL TREE PLOT,2,DBH,0,1.9
01040715040007,636803010259,07/02/1993,2,TP,20,LARGE TREE PLOT,1,DBH,2,9999.9
01040715040007,636803010259,07/02/1993,2,TP,300,SMALL TREE PLOT,2,DBH,0,1.9
01040715040007,636853010259,05/02/2000,3,TP,20,LARGE TREE PLOT,1,DBH,2,9999.9
01040715040007,636853010259,05/02/2000,3,TP,300,SMALL TREE PLOT,2,DBH,0,1.9
01040717020055,636890010259,06/01/1987,1,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040717020055,636890010259,06/01/1987,1,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040717020055,636952010259,06/01/1992,2,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040717020055,636952010259,06/01/1992,2,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040717020055,636903010259,06/02/1987,1,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040717020055,636903010259,06/02/1987,1,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040717020055,636965010259,06/02/1992,2,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040717020055,636965010259,06/02/1992,2,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040738050058,637600010259,09/01/1985,1,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040738050058,637600010259,09/01/1985,1,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040738050058,637650010259,08/01/1990,2,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040738050058,637650010259,08/01/1990,2,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040738050058,637700010259,10/01/1995,3,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040738050058,637700010259,10/01/1995,3,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040738050058,637613010259,09/02/1985,1,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040738050058,637613010259,09/02/1985,1,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040738050058,637663010259,08/02/1990,2,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040738050058,637663010259,08/02/1990,2,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040738050058,637713010259,10/02/1995,3,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040738050058,637713010259,10/02/1995,3,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040738050059,637750010259,09/01/1985,1,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040738050059,637750010259,09/01/1985,1,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040738050059,637800010259,08/01/1990,2,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040738050059,637800010259,08/01/1990,2,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040738050059,637850010259,10/01/1995,3,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040738050059,637850010259,10/01/1995,3,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040738050059,637763010259,09/02/1985,1,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040738050059,637763010259,09/02/1985,1,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040738050059,637813010259,08/02/1990,2,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040738050059,637813010259,08/02/1990,2,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040738050059,637863010259,10/02/1995,3,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040738050059,637863010259,10/02/1995,3,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040746030067,638236010259,09/01/1986,1,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040746030067,638236010259,09/01/1986,1,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040746030067,638286010259,08/01/1991,2,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040746030067,638286010259,08/01/1991,2,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040746030067,638249010259,09/02/1986,1,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040746030067,638249010259,09/02/1986,1,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040746030067,638299010259,08/02/1991,2,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040746030067,638299010259,08/02/1991,2,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040746030069,638336010259,09/01/1986,1,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040746030069,638336010259,09/01/1986,1,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040746030069,638386010259,08/01/1991,2,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040746030069,638386010259,08/01/1991,2,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040746030069,638349010259,09/02/1986,1,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040746030069,638349010259,09/02/1986,1,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040746030069,638399010259,08/02/1991,2,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040746030069,638399010259,08/02/1991,2,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040850040016,638838010259,07/01/1987,1,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040850040016,638838010259,07/01/1987,1,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040850040016,638888010259,04/01/1992,2,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040850040016,638888010259,04/01/1992,2,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040850040016,638938010259,09/01/2000,3,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040850040016,638938010259,09/01/2000,3,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040850040016,638851010259,09/02/1987,1,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040850040016,638851010259,09/02/1987,1,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040850040016,638901010259,04/02/1992,2,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040850040016,638901010259,04/02/1992,2,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01040850040016,638951010259,09/02/2000,3,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01040850040016,638951010259,09/02/2000,3,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01050336050001,569418010259,09/01/1984,1,CP,20,LARGE TREE PLOT,1,DBH,1.1,9999.9
01050336050001,569418010259,09/01/1984,1,CP,300,SMALL TREE PLOT,2,DBH,0,1
01050336050001,569468010259,05/01/1994,2,CP,20,LARGE TREE PLOT,1,DBH,1.1,9999.9
01050336050001,569468010259,05/01/1994,2,CP,300,SMALL TREE PLOT,2,DBH,0,1
01050336050001,569518010259,05/01/1998,3,CP,20,LARGE TREE PLOT,1,DBH,1.1,9999.9
01050336050001,569518010259,05/01/1998,3,CP,300,SMALL TREE PLOT,2,DBH,0,1
01050336050001,569431010259,09/02/1984,1,TP,20,LARGE TREE PLOT,1,DBH,1.1,9999.9
01050336050001,569431010259,09/02/1984,1,TP,300,SMALL TREE PLOT,2,DBH,0,1
01050336050001,569481010259,05/02/1994,2,TP,20,LARGE TREE PLOT,1,DBH,1.1,9999.9
01050336050001,569481010259,05/02/1994,2,TP,300,SMALL TREE PLOT,2,DBH,0,1
01050336050001,569531010259,05/02/1998,3,TP,20,LARGE TREE PLOT,1,DBH,1.1,9999.9
01050336050001,569531010259,05/02/1998,3,TP,300,SMALL TREE PLOT,2,DBH,0,1
01140102050006,488310010259,09/01/1988,1,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01140102050006,488310010259,09/01/1988,1,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01140102050006,488360010259,08/01/1993,2,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01140102050006,488360010259,08/01/1993,2,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01140102050006,488410010259,08/01/1998,3,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01140102050006,488410010259,08/01/1998,3,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01140102050006,488323010259,09/02/1988,1,TP,20,LARGE TREE PLOT,1,DBH,0.2,9999.9
01140102050006,488323010259,09/02/1988,1,TP,300,SMALL TREE PLOT,2,DBH,0,0.1
01140102050006,488373010259,08/02/1993,2,TP,20,LARGE TREE PLOT,1,DBH,0.2,9999.9
01140102050006,488373010259,08/02/1993,2,TP,300,SMALL TREE PLOT,2,DBH,0,0.1
01140102050006,488423010259,08/02/1998,3,TP,20,LARGE TREE PLOT,1,DBH,0.2,9999.9
01140102050006,488423010259,08/02/1998,3,TP,300,SMALL TREE PLOT,2,DBH,0,0.1
01140109010001,488997010259,07/01/1987,1,CP,20,LARGE TREE PLOT,1,DBH,5,9999.9
01140109010001,488997010259,07/01/1987,1,CP,300,SMALL TREE PLOT,2,DBH,0,4.9
01140109010001,489047010259,08/01/1992,2,CP,20,LARGE TREE PLOT,1,DBH,5,9999.9
01140109010001,489047010259,08/01/1992,2,CP,300,SMALL TREE PLOT,2,DBH,0,4.9
01140109010001,489097010259,08/01/1997,3,CP,20,LARGE TREE PLOT,1,DBH,5,9999.9
01140109010001,489097010259,08/01/1997,3,CP,300,SMALL TREE PLOT,2,DBH,0,4.9
01140109010001,489010010259,07/02/1987,1,TP,20,LARGE TREE PLOT,1,DBH,5,9999.9
01140109010001,489010010259,07/02/1987,1,TP,300,SMALL TREE PLOT,2,DBH,0,4.9
01140109010001,489060010259,08/02/1992,2,TP,20,LARGE TREE PLOT,1,DBH,5,9999.9
01140109010001,489060010259,08/02/1992,2,TP,300,SMALL TREE PLOT,2,DBH,0,4.9
01140109010001,489110010259,08/02/1997,3,TP,20,LARGE TREE PLOT,1,DBH,5,9999.9
01140109010001,489110010259,08/02/1997,3,TP,300,SMALL TREE PLOT,2,DBH,0,4.9
01140119020008,489247010259,06/01/1983,1,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01140119020008,489247010259,06/01/1983,1,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01140119020008,489297010259,10/01/1988,2,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01140119020008,489297010259,10/01/1988,2,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01140119020008,489347010259,08/01/1993,3,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01140119020008,489347010259,08/01/1993,3,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01140119020008,489397010259,08/01/1998,4,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01140119020008,489397010259,08/01/1998,4,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01140119020008,651315010259,06/02/1983,0,TP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01140119020008,651315010259,06/02/1983,0,TP,300,SMALL TREE PLOT,2,DBH,0,2.9
01140119020008,489260010259,05/02/1984,1,TP,20,LARGE TREE PLOT,1,DBH,0.2,9999.9
01140119020008,489260010259,05/02/1984,1,TP,300,SMALL TREE PLOT,2,DBH,0,0.1
01140119020008,489310010259,10/02/1988,2,TP,20,LARGE TREE PLOT,1,DBH,0.2,9999.9
01140119020008,489310010259,10/02/1988,2,TP,300,SMALL TREE PLOT,2,DBH,0,0.1
01140119020008,489360010259,08/02/1993,3,TP,20,LARGE TREE PLOT,1,DBH,1,9999.9
01140119020008,489360010259,08/02/1993,3,TP,300,SMALL TREE PLOT,2,DBH,0,0.9
01140119020008,489410010259,08/02/1998,4,TP,20,LARGE TREE PLOT,1,DBH,1,9999.9
01140119020008,489410010259,08/02/1998,4,TP,300,SMALL TREE PLOT,2,DBH,0,0.9
01140120010011,489512010259,04/01/1984,1,CP,20,LARGE TREE PLOT,1,DBH,1.5,9999.9
01140120010011,489512010259,04/01/1984,1,CP,300,SMALL TREE PLOT,2,DBH,0,1.4
01140120010011,489562010259,05/01/1989,2,CP,20,LARGE TREE PLOT,1,DBH,1.5,9999.9
01140120010011,489562010259,05/01/1989,2,CP,300,SMALL TREE PLOT,2,DBH,0,1.4
01140120010011,489612010259,08/01/1993,3,CP,20,LARGE TREE PLOT,1,DBH,1.5,9999.9
01140120010011,489612010259,08/01/1993,3,CP,300,SMALL TREE PLOT,2,DBH,0,1.4
01140120010011,489662010259,08/01/1998,4,CP,20,LARGE TREE PLOT,1,DBH,1.5,9999.9
01140120010011,489662010259,08/01/1998,4,CP,300,SMALL TREE PLOT,2,DBH,0,1.4
01140120010011,489525010259,04/02/1984,1,TP,20,LARGE TREE PLOT,1,DBH,0.2,9999.9
01140120010011,489525010259,04/02/1984,1,TP,300,SMALL TREE PLOT,2,DBH,0,0.1
01140120010011,489575010259,11/02/1988,2,TP,20,LARGE TREE PLOT,1,DBH,0.1,9999.9
01140120010011,489575010259,11/02/1988,2,TP,300,SMALL TREE PLOT,2,DBH,0,0
01140120010011,489625010259,08/02/1993,3,TP,20,LARGE TREE PLOT,1,DBH,0.2,9999.9
01140120010011,489625010259,08/02/1993,3,TP,300,SMALL TREE PLOT,2,DBH,0,0.1
01140120010011,489675010259,08/02/1998,4,TP,20,LARGE TREE PLOT,1,DBH,0.2,9999.9
01140120010011,489675010259,08/02/1998,4,TP,300,SMALL TREE PLOT,2,DBH,0,0.1
01140123030001,520172010259,09/01/1986,1,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01140123030001,520172010259,09/01/1986,1,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01140123030001,520222010259,08/01/1991,2,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01140123030001,520222010259,08/01/1991,2,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01140123030001,520272010259,08/01/1996,3,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01140123030001,520272010259,08/01/1996,3,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01140123030001,520322010259,10/01/2001,4,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
01140123030001,520322010259,10/01/2001,4,CP,300,SMALL TREE PLOT,2,DBH,0,2.9
01140123030001,520185010259,09/02/1986,1,TP,20,LARGE TREE PLOT,1,DBH,0.2,9999.9
01140123030001,520185010259,09/02/1986,1,TP,300,SMALL TREE PLOT,2,DBH,0,0.1
01140123030001,520235010259,08/02/1991,2,TP,20,LARGE TREE PLOT,1,DBH,0.2,9999.9
01140123030001,520235010259,08/02/1991,2,TP,300,SMALL TREE PLOT,2,DBH,0,0.1
01140123030001,520285010259,08/02/1996,3,TP,20,LARGE TREE PLOT,1,DBH,0.2,9999.9
01140123030001,520285010259,08/02/1996,3,TP,300,SMALL TREE PLOT,2,DBH,0,0.1
01140123030001,520335010259,10/02/2001,4,TP,20,LARGE TREE PLOT,1,DBH,0.5,9999.9
01140123030001,520335010259,10/02/2001,4,TP,300,SMALL TREE PLOT,2,DBH,0,0.4
01140316020106,520422010259,06/01/1986,1,CP,20,LARGE TREE PLOT,1,DBH,3,9999.9
