"PLOT","SUBP","TAG_ID","AZIMUTH","DISTANCE","TREE_COUNT","SPECIES_SYMBOL","LIVE_DEAD","DIAMETER","HEIGHT","CROWN_RATIO","CROWN_CLASS","SNAG_DECAY_CLASS","REMARKS","PRV_DAM"
101,"",1,163,24.9,"","PSME","L",5.6,,93,"CO","","",""
101,"",2,188,17.8,"","LAOC","L",4.8,33,70,"CO","","","25-034-1"
101,"",3,229,17.7,"","LAOC","L",3.7,29,70,"CO","","","25-034-1"
101,"",58,272,10,"","LAOC","L",8.5,44,70,"CO","","","25-034-1"
101,"",501,282,16.6,"","PSME","L",3.2,25,80,"IN","","","22-000-1"
101,"",61,294,20.4,"","LAOC","L",4.3,37,30,"CO","","","25-034-1"
101,"",62,323,21.6,"","PSME","L",6.1,37,93,"CO","","",""
101,"",153,324,24,"","PSME","L",3.6,28,80,"IN","","",""
101,"5",502,70,6.7,"","PSME","L",2.5,23,80,"IN","","",""
101,"5",505,,,"","PSME","L",1.3,15,70,"IN","","",""
101,"5",506,,,"","PSME","L",0.9,9,70,"IN","","",""
101,"5",507,,,"","LAOC","L",2.1,24,30,"IN","","",""
101,"6",601,121,6.5,"","PSME","L",1.2,9,93,"IN","","",""
101,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,
102,"",27,3,25.5,"","LAOC","L",4.1,41,40,"CO","","",""
102,"",28,13,22.4,"","PSME","L",3.7,38,60,"CO","","",""
102,"",29,26,22.5,"","ABGR","L",4.1,39,70,"CO","","",""
102,"",86,41,23.5,"","PSME","L",3.1,31,70,"CO","","",""
102,"",87,76,23.7,"","ABLA","L",3.7,32,70,"CO","","",""
102,"",11,82,15.2,"","PSME","L",5.6,37,70,"CO","","",""
102,"",20,84,19.6,"","ABLA","L",5.1,40,70,"CO","","",""
102,"",30,89,11.8,"","PSME","L",4.1,36,60,"CO","","",""
102,"",31,99,10.2,"","PSME","L",3.6,,50,"CO","","",""
102,"",603,103,23.8,"","PSME","L",3.5,34,50,"CO","","",""
102,"",88,113,26.3,"","PSME","L",3.1,32,50,"CO","","",""
102,"",32,120,11.2,"","PSME","L",4,,60,"CO","","",""
102,"",33,132,9.1,"","PSME","L",4.5,,60,"CO","","",""
102,"",89,133,17.6,"","PSME","L",3.2,,60,"CO","","",""
102,"",34,145,23.6,"","LAOC","L",3.4,34,30,"CO","","",""
102,"",35,152,19.1,"","LAOC","L",3.6,36,40,"CO","","",""
102,"",21,155,17.6,"","LAOC","L",4.1,37,50,"CO","","",""
102,"",22,193,21.2,"","LAOC","L",5,35,60,"CO","","",""
102,"",36,228,16.3,"","PSME","L",3.8,,70,"CO","","",""
102,"",23,230,19.8,"","PSME","L",6.7,46,60,"CO","","",""
102,"",6,231,20.4,"","PSME","L",8.1,48,70,"CO","","",""
102,"",24,236,10,"","PSME","L",4.7,,60,"CO","","",""
102,"",25,244,23,"","PSME","L",7.6,44,70,"CO","","",""
102,"",96,245,7.5,"","ABGR","L",3.5,34,60,"CO","","",""
102,"",7,249,16.5,"","PSME","L",6.4,,60,"CO","","",""
102,"",94,254,26.1,"","ABGR","L",3.2,30,60,"IN","","",""
102,"",18,255,19,"","PSME","L",4.5,,50,"CO","","",""
102,"",37,263,24.5,"","PSME","L",3.7,,60,"CO","","",""
102,"",502,280,13.9,"","PSME","L",3.1,,60,"CO","","",""
102,"",16,296,15.9,"","PSME","L",5.8,,50,"CO","","",""
102,"",704,321,6.5,"","PSME","L",3.2,,60,"CO","","",""
102,"",26,322,18.2,"","LAOC","L",4.4,39,60,"CO","","",""
102,"",93,335,11.7,"","PSME","L",3.3,,60,"CO","","",""
102,"",91,337,17.2,"","PSME","L",3.2,,40,"CO","","",""
102,"",92,337,18.4,"","PIPO","L",3.2,31,30,"CO","","",""
102,"",90,337,22.8,"","PSME","L",3,,60,"IN","","",""
102,"",97,353,22.5,"","PSME","L",3,,50,"CO","","",""
102,"5",508,,,"","PSME","L",1.4,20,50,"IN","","",""
102,"5",509,,,"","PSME","L",0.8,10,40,"OV","","","50-011-1"
102,"6",602,107,3.6,"","PSME","L",2.7,,60,"IN","","","50-011-2"
102,"6",608,148,6.4,"","ABGR","L",0.2,5,20,"OV","","",""
102,"6",617,,,"","THPL","L",2.3,17,70,"IN","","",""
102,"6",619,,,"","THPL","L",1.2,9,60,"IN","","",""
102,"6",616,,,"","LAOC","L",1.4,20,20,"IN","","",""
102,"6",610,,,"","ABGR","L",,,30,"OV","","","41-007-2"
102,"6",612,,,"","PSME","L",2.2,24,60,"IN","","",""
102,"7",701,10,6.4,"","LAOC","L",1.8,30,30,"IN","","",""
102,"7",707,91,6.1,"","THPL","L",2.3,20,70,"IN","","",""
102,"7",708,92,6,"","ABGR","L",0.8,9,60,"OV","","",""
102,"7",709,99,6.5,"","ABGR","L",1.2,15,60,"IN","","",""
102,"7",717,140,,"","THPL","L",2.8,20,80,"IN","","",""
102,"7",714,,,"","PSME","L",,3,30,"IN","","","41-007-1"
102,"7",715,,,"","PSME","L",2,24,60,"IN","","",""
102,"7",716,,,"","PSME","L",0.6,9,40,"IN","","","50-011-1"
102,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,
103,"",77,7,16,"","LAOC","L",3.1,27,40,"IN","","",""
103,"",1,40,25.9,"","LAOC","L",3.4,34,50,"CO","","",""
103,"",2,47,22.8,"","POPUL","L",3.9,32,70,"CO","","",""
103,"",701,49,4,"","PICO","L",3.9,,20,"IN","","","22-007-5 50-011-2"
103,"",76,67,16,"","PSME","L",3.1,27,70,"IN","","",""
103,"",75,76,12.9,"","PSME","L",3.3,29,70,"IN","","",""
103,"",91,76,14.7,"","LAOC","L",18.6,102,60,"DO","","",""
103,"",101,102,11.3,"","PSME","L",6,39,80,"CO","","",""
103,"",102,145,21.1,"","LAOC","L",4.6,36,50,"CO","","",""
103,"",3,150,25.8,"","LAOC","L",3.3,,40,"CO","","",""
103,"",4,158,12.8,"","PSME","L",4.4,31,70,"CO","","",""
103,"",74,161,11.1,"","LAOC","L",3.1,30,30,"CO","","",""
103,"",5,174,21,"","LAOC","L",4.4,39,40,"CO","","",""
103,"",6,190,24.3,"","LAOC","L",4.2,34,60,"CO","","",""
103,"",7,204,18.6,"","PSME","L",4,35,70,"CO","","",""
103,"",73,205,17.5,"","ABGR","L",3.6,32,60,"IN","","",""
103,"",8,208,22.4,"","THPL","L",4.2,28,70,"CO","","",""
103,"",9,208,22.8,"","THPL","L",4.3,28,70,"CO","","",""
103,"",92,209,20.1,"","ABGR","L",7.3,47,70,"CO","","",""
103,"",10,212,18.6,"","LAOC","L",5.1,45,50,"CO","","",""
103,"",11,217,18.4,"","LAOC","L",4.8,41,50,"CO","","",""
103,"",12,217,22.3,"","ABGR","L",5.2,38,80,"CO","","",""
103,"",103,220,18.1,"","PSME","L",5.9,43,60,"CO","","",""
103,"",93,230,19,"","PSME","L",7.6,43,80,"CO","","",""
103,"",72,243,20.2,"","ABGR","L",3,27,80,"IN","","",""
103,"",502,273,21.8,"","LAOC","L",4.6,,60,"CO","","","25-034-1"
103,"",703,276,3.8,"","LAOC","L",4.2,,60,"CO","","","25-034-1"
103,"",13,300,16.6,"","ABGR","L",5.7,40,93,"CO","","",""
103,"",14,307,12.6,"","LAOC","L",3.7,,50,"CO","","",""
103,"",15,309,25.6,"","LAOC","L",3.4,,40,"CO","","","25-034-1"
103,"",16,321,12.2,"","LAOC","L",3.6,,40,"CO","","","25-034-1"
103,"",704,350,6.1,"","LAOC","L",4.2,,40,"CO","","",""
103,"5",501,253,5.7,"","LAOC","L",1.6,22,50,"IN","","",""
103,"5",503,312,5.6,"","PICO","L",1.4,17,40,"IN","","","22-007-1"
103,"5",507,,,"","THPL","L",,3,80,"IN","","",""
103,"6",601,59,6.2,"","LAOC","L",0.4,7,30,"IN","","","50-011-2"
103,"6",606,74,4.9,"","THPL","L",,3,80,"IN","","",""
103,"6",603,193,5.3,"","LAOC","L",2.1,27,40,"CO","","","25-034-2"
103,"6",604,247,3.4,"","PSME","L",0.9,8,50,"OV","","","50-011-1"
103,"6",609,264,4.5,"","ABGR","L",1.7,14,70,"IN","","",""
103,"6",614,,,"","LAOC","L",1.5,20,20,"IN","","","25-034-2"
103,"7",706,86,5.8,"","PICO","L",2.3,28,20,"IN","","","22-007-1 41-009-2"
103,"7",702,224,3.2,"","LAOC","L",2.4,30,40,"CO","","",""
103,"7",710,,,"","LAOC","L",2.1,26,40,"IN","","",""
103,"7",711,,,"","THPL","L",,2,80,"IN","","",""
103,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,
201,"",36,36,25.4,"","PIPO","L",7.1,28,70,"CO","","",""
201,"",62,62,22.5,"","PSME","D",1.7,,,"","","","21-001-0"
201,"",63,70,3.8,"","PSME","L",4.6,27,80,"CO","","","21-001-2"
201,"",82,77,11.2,"","PICO","L",1.9,16,60,"IN","","",""
201,"",81,86,17.1,"","PSME","L",2.5,,93,"IN","","","21-001-4"
201,"",64,102,14.5,"","PSME","L",3,19,80,"IN","","","22-026-1 21-001-2"
201,"",87,144,11.6,"","LAOC","L",1.5,17,80,"IN","","","25-034-1"
201,"",88,146,17.1,"","PICO","L",3.7,21,80,"CO","","","26-002-3 22-007-5"
201,"",65,171,25.6,"","PSME","L",3.8,29,70,"CO","","","21-001-4"
201,"",66,187,17.5,"","LAOC","L",5.6,31,70,"CO","","",""
201,"",67,200,24.9,"","LAOC","L",4.1,36,80,"CO","","",""
201,"",68,216,17.7,"","PICO","L",5.7,35,60,"CO","","","10-000-2"
201,"",69,231,22.2,"","PICO","L",5.2,35,80,"CO","","","22-007-1"
201,"",70,233,15.7,"","PSME","L",2.9,26,70,"IN","","","21-001-4"
201,"",71,254,5.2,"","PIPO","L",6,31,60,"CO","","",""
201,"",72,256,22.6,"","PICO","L",5,32,70,"CO","","",""
201,"",73,267,16.1,"","PICO","L",6,,60,"CO","","","22-007-1"
201,"",74,270,25,"","LAOC","L",3.2,,20,"IN","","","25-034-1"
201,"",75,300,9.5,"","PICO","L",6,,60,"CO","","","10-000-1 22-007-1"
201,"",76,305,17.5,"","PSME","L",5.1,31,93,"CO","","",""
201,"",77,331,18.6,"","PICO","L",4.2,,70,"CO","","",""
201,"",78,346,24.2,"","PICO","L",5.1,,80,"CO","","","10-000-1 22-007-1"
201,"",79,359,25.9,"","PICO","L",3.8,,93,"CO","","",""
201,"5",506,,,"","PSME","L",,1,60,"IN","","",""
201,"5",505,,,"","PICO","L",,1,60,"IN","","",""
201,"6",607,53,2.9,"","PICO","L",,3,20,"OV","","",""
201,"6",603,258,5.3,"","PICO","L",0.5,8,60,"IN","","",""
201,"6",606,315,5.2,"","PSME","L",,4,80,"IN","","",""
201,"6",602,,,"","PSME","L",,1,60,"IN","","",""
201,"7",701,,,"","PSME","L",,1,60,"IN","","",""
201,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,
202,"",82,4,26.3,"","PSME","L",5.8,35,93,"CO","","",""
202,"",83,38,8.8,"","LAOC","L",2.2,,30,"IN","","",""
202,"",84,50,18.6,"","PSME","L",4.5,30,80,"CO","","",""
202,"",85,78,23.4,"","PSME","L",6.6,38,70,"CO","","",""
202,"",86,86,16.1,"","PSME","L",7.5,40,80,"CO","","",""
202,"",87,88,8.4,"","PSME","L",5.1,30,70,"CO","","",""
202,"",88,112,4.2,"","LAOC","D",1.5,,,"","","",""
202,"",89,125,26,"","LAOC","L",2.5,23,40,"IN","","",""
202,"",90,136,11.5,"","PSME","L",6.4,37,80,"CO","","",""
202,"",91,140,20.2,"","LAOC","L",3,25,70,"IN","","",""
202,"",92,158,25.4,"","PSME","L",5.3,32,80,"CO","","",""
202,"",94,172,16.8,"","LAOC","L",4.3,31,50,"CO","","",""
202,"",93,172,25.6,"","PICO","L",2.9,23,60,"IN","","",""
202,"",95,194,17.1,"","PSME","D",1.5,,,"","","","21-001-0"
202,"",96,222,17.7,"","PSME","L",3.3,23,70,"CO","","",""
202,"",1,226,22.1,"","PSME","L",2.6,22,70,"IN","","",""
202,"",2,236,9.3,"","LAOC","L",1.7,21,60,"IN","","",""
202,"",3,238,16,"","PICO","L",5.4,32,60,"CO","","","22-007-1"
202,"",4,266,20.1,"","PICO","L",2.2,,50,"IN","","","26-002-3"
202,"",5,282,19.8,"","LAOC","L",2.2,26,40,"IN","","",""
202,"",6,304,22.7,"","PSME","L",8.6,44,93,"CO","","",""
202,"",7,322,11.7,"","LAOC","L",8.5,47,70,"CO","","",""
202,"",13,327,21.3,"","PSME","L",2.9,,80,"IN","","",""
202,"",8,328,17.1,"","PICO","L",3.1,26,50,"IN","","","26-002-3 41-009-1"
202,"",9,333,5.8,"","PSME","D",3.4,,,"","","","21-001-0"
202,"",10,335,24.2,"","PICO","L",5.3,33,70,"CO","","","26-002-3 41-009-1"
202,"",11,358,14.1,"","LAOC","L",5.3,34,80,"CO","","",""
202,"5",508,,,"","PSME","L",,2,80,"IN","","","41-007-1"
202,"5",505,,,"","PICO","L",,2,60,"IN","","",""
202,"5",501,,,"","LAOC","L",0.8,14,30,"IN","","","25-034-1 50-011-1"
202,"6",611,,,"","PSME","L",,2,60,"IN","","","41-007-1"
202,"6",612,,,"","THPL","L",,2,80,"IN","","","41-007-1"
202,"7",705,,,"","PSME","L",0.2,5,80,"IN","","",""
202,"7",704,,,"","PSME","L",,3,70,"IN","","","41-007-1"
202,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,
203,"",13,2,22.5,"","PIPO","L",5.3,27,70,"CO","","",""
203,"",34,4,16.4,"","LAOC","L",1.7,17,80,"IN","","",""
203,"",14,17,24.2,"","LAOC","L",5.9,30,70,"CO","","",""
203,"",15,43,22.8,"","THPL","L",4.1,22,93,"CO","","",""
203,"",38,43,23,"","THPL","L",1.6,15,70,"IN","","",""
203,"",16,100,20.9,"","PIPO","L",7.6,41,60,"CO","","",""
203,"",17,126,8.2,"","THPL","L",3.8,18,93,"IN","","",""
203,"",36,130,24,"","LAOC","L",1.9,,70,"IN","","","22-000-1"
203,"",18,140,17.1,"","LAOC","L",7.2,42,50,"CO","","",""
203,"",19,158,23.3,"","PSME","L",4.3,27,70,"CO","","",""
203,"",20,171,14.2,"","LAOC","L",3.6,31,80,"CO","","",""
203,"",35,183,23.3,"","LAOC","L",2.7,29,50,"CO","","",""
203,"",21,188,10.5,"","PICO","L",5.6,32,50,"CO","","","22-007-5"
203,"",22,192,19.9,"","LAOC","L",3,30,60,"CO","","","25-034-1"
203,"",23,221,17.9,"","PIPO","L",6.3,35,50,"CO","","",""
203,"",24,225,24,"","LAOC","L",5.1,34,70,"CO","","","25-034-1"
203,"",25,227,11.5,"","PSME","L",3.8,29,93,"CO","","",""
203,"",26,243,16.1,"","PICO","L",5.8,36,70,"CO","","","22-007-1"
203,"",33,250,1.7,"","LAOC","L",2.1,,50,"IN","","","50-011-2"
203,"",28,276,11.4,"","PSME","L",6.2,38,93,"CO","","",""
203,"",30,308,22.1,"","LAOC","L",4.4,,80,"CO","","",""
203,"",37,320,25.9,"","PSME","L",3.9,26,80,"CO","","",""
203,"",31,327,8.9,"","LAOC","L",5.7,,60,"CO","","","25-034-1"
203,"",32,331,18.9,"","LAOC","L",4.5,,70,"CO","","","25-034-1"
203,"5",502,,,"","PSME","L",,2,80,"IN","","",""
203,"6",601,302,3.7,"","PSME","L",,2,40,"IN","","",""
203,"7",701,100,6,"","PICO","L",,3,60,"IN","","",""
203,"7",703,223,3.4,"","THPL","L",,3,80,"IN","","",""
203,"7",704,270,6.1,"","PSME","L",,1,70,"IN","","",""
203,"7",705,,,"","LAOC","L",,3,60,"IN","","","50-011-2"
203,"7",706,,,"","PICO","L",,,50,"IN","","","41-007-2"
203,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,
301,"",34,21,15.8,"","LAOC","L",8.2,47,60,"CO","","",""
301,"",35,31,7.1,"","LAOC","L",1.9,22,70,"IN","","",""
301,"",36,42,20.7,"","LAOC","L",7.7,45,70,"CO","","",""
301,"",37,76,17,"","LAOC","L",8.4,52,80,"CO","","","25-034-1"
301,"",38,82,25.4,"","LAOC","L",6.9,44,70,"CO","","",""
301,"",39,127,24.4,"","LAOC","L",6.1,45,60,"CO","","",""
301,"",40,167,9,"","PIPO","L",5.5,24,70,"CO","","",""
301,"",41,168,23.5,"","LAOC","L",5.5,45,70,"CO","","",""
301,"",42,200,24.5,"","LAOC","L",5.8,41,60,"CO","","","25-034-1"
301,"",43,210,12.4,"","LAOC","L",2.4,23,70,"IN","","","25-034-1"
301,"",44,231,23,"","LAOC","L",4.4,35,70,"CO","","",""
301,"",45,268,13.6,"","LAOC","L",6.3,39,80,"CO","","","25-034-1"
301,"",46,271,21.2,"","LAOC","L",6.3,42,80,"CO","","","25-034-1"
301,"",47,302,13.3,"","LAOC","L",4.1,32,80,"CO","","","25-034-1"
301,"",48,344,9.2,"","PICO","L",6.4,38,80,"CO","","","22-007-1"
301,"6",601,210,5.9,"","PSME","L",,2,80,"IN","","",""
301,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,
302,"",49,14,16.6,"","LAOC","L",4.7,31,70,"CO","","",""
302,"",50,16,6.3,"","LAOC","L",3.6,31,80,"CO","","",""
302,"",6,48,25.2,"","LAOC","L",2.3,20,93,"IN","","",""
302,"",51,66,16.4,"","LAOC","L",5.5,39,70,"CO","","",""
302,"",52,92,12.9,"","LAOC","L",3.1,24,70,"IN","","",""
302,"",9,114,23.2,"","LAOC","L",1.8,17,70,"IN","","",""
302,"",53,116,6.7,"","LAOC","L",4.2,31,70,"CO","","",""
302,"",54,118,14.3,"","LAOC","L",3.5,29,70,"CO","","",""
302,"",63,133,25,"","LAOC","L",2,20,70,"IN","","",""
302,"",55,185,7.7,"","LAOC","L",4.1,31,60,"CO","","","25-034-1"
302,"",56,200,14.6,"","PIPO","L",7.7,34,80,"CO","","",""
302,"",57,202,24,"","LAOC","L",4.3,32,70,"CO","","","25-034-1"
302,"",58,218,25.2,"","LAOC","L",2.6,26,70,"CO","","",""
302,"",59,225,11.8,"","LAOC","L",2.8,30,60,"CO","","",""
302,"",67,277,22.7,"","PIPO","L",1.7,12,70,"IN","","",""
302,"",60,291,20,"","LAOC","L",3.3,31,70,"CO","","",""
302,"",61,307,18,"","LAOC","L",1.7,,40,"OV","","",""
302,"",62,357,23,"","LAOC","L",5.3,38,70,"CO","","","25-034-1"
302,"5",501,120,2.8,"","PSME","L",0.4,7,70,"IN","","",""
302,"7",701,,,"","LAOC","L",0.3,6,8,"OV","","",""
302,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,
303,"",26,42,18,"","LAOC","L",3.2,26,80,"CO","","",""
303,"",65,184,22.3,"","LAOC","L",3,31,80,"CO","","","25-034-1"
303,"",66,221,18.1,"","LAOC","L",6,37,70,"CO","","","25-034-1"
303,"",67,255,17.9,"","LAOC","L",5.7,36,80,"CO","","","25-034-2"
303,"",68,257,26.3,"","LAOC","L",2.6,25,40,"CO","","","25-034-1"
303,"",69,282,24.9,"","LAOC","L",4.5,32,70,"CO","","",""
303,"",70,305,16.1,"","LAOC","L",4.5,32,70,"CO","","","25-034-2"
303,"",71,306,24.4,"","LAOC","L",3.2,27,70,"CO","","","25-034-1"
303,"",72,314,26.3,"","LAOC","L",4.1,32,80,"CO","","","25-034-2"
303,"",73,342,16.7,"","LAOC","L",4.9,32,70,"CO","","","25-034-1"
303,"5",502,,,"","LAOC","L",,2,70,"IN","","",""
303,"5",503,,,"","PSME","L",,3,70,"IN","","",""
303,"6",601,,,"","PSME","L",,1,80,"IN","","",""
303,"7",701,,,"","LAOC","L",0.2,6,8,"IN","","","25-034-2"
303,"7",702,,,"","LAOC","L",,,60,"IN","","","25-034-2 41-007-2"
303,"7",705,,,"","PSME","L",,2,80,"IN","","",""
303,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,
401,"",20,66,8.4,"","PICO","L",6.4,31,80,"CO","","","22-007-5"
401,"",21,100,2.3,"","LAOC","L",3.7,31,50,"CO","","",""
401,"",33,103,25,"","PSME","L",4.1,26,80,"CO","","",""
401,"",34,120,17.7,"","PSME","L",2.7,17,93,"IN","","",""
401,"",22,141,11.7,"","PSME","L",3.3,25,93,"CO","","","21-001-2"
401,"",23,142,22.1,"","PSME","L",3.1,25,80,"CO","","","21-001-2"
401,"",24,166,18.6,"","ABLA","L",3.3,24,93,"CO","","",""
401,"",39,192,24.9,"","THPL","L",2.6,19,93,"IN","","",""
401,"",25,202,16.5,"","LAOC","L",9.1,51,70,"DO","","",""
401,"",26,241,22.8,"","PSME","L",5.3,33,93,"CO","","","22-000-1"
401,"",27,245,11.4,"","PSME","L",7.7,43,93,"CO","","",""
401,"",28,274,22.4,"","PSME","L",6.1,41,80,"CO","","",""
401,"",29,290,17.2,"","PSME","L",8.9,48,93,"CO","","",""
401,"",30,333,21.2,"","PIPO","L",2.1,11,40,"IN","","",""
401,"",31,351,12.6,"","PSME","D",2.2,,,"","","","21-001-0"
401,"5",502,,,"","PICO","L",,2,50,"IN","","",""
401,"5",503,,,"","PSME","L",0.4,6,93,"IN","","","21-001-1"
401,"6",602,1,5.6,"","PICO","L",,2,50,"IN","","",""
401,"6",603,18,2.9,"","PSME","L",,1,70,"IN","","",""
401,"7",703,163,3.7,"","PICO","L",,1,50,"OV","","",""
401,"7",704,,,"","ABGR","L",0.6,6,80,"IN","","",""
401,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,
402,"",33,2,22.8,"","PICO","L",4.5,27,70,"CO","","","22-007-1"
402,"",34,22,25.9,"","PSME","L",5.9,33,93,"CO","","",""
402,"",35,52,10.2,"","LAOC","L",3,26,50,"CO","","",""
402,"",36,80,15.8,"","PSME","L",7.6,40,93,"CO","","",""
402,"",37,125,19.8,"","PSME","L",7.1,39,93,"CO","","",""
402,"",38,134,8.3,"","PIPO","L",5.5,28,50,"CO","","",""
402,"",39,155,25.3,"","LAOC","L",8.5,46,93,"CO","","",""
402,"",40,177,16.3,"","PIPO","L",9.4,36,50,"CO","","",""
402,"",41,204,25.7,"","PIPO","L",4,16,50,"IN","","",""
402,"",42,232,16.6,"","LAOC","L",5.7,37,60,"CO","","",""
402,"",43,233,26.1,"","LAOC","L",5.8,39,70,"CO","","",""
402,"",44,270,10.4,"","PSME","L",7.5,40,93,"CO","","",""
402,"",45,293,15.4,"","PICO","L",6.1,32,70,"CO","","","26-002-3 22-007-1"
402,"",46,302,21.6,"","LAOC","L",7.1,40,60,"CO","","",""
402,"",47,328,6,"","PICO","L",4.6,28,70,"CO","","","41-009-1"
402,"",48,338,21.6,"","PICO","L",6.3,32,60,"CO","","","22-007-5"
402,"",49,339,11.7,"","LAOC","L",4.4,33,60,"CO","","",""
402,"5",502,,,"","PICO","L",,1,80,"IN","","",""
402,"5",503,,,"","PSME","L",,2,60,"IN","","",""
402,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,
403,"",50,28,10.8,"","PSME","L",7.4,41,93,"CO","","",""
403,"",51,91,13.5,"","LAOC","L",9.4,51,80,"CO","","","25-034-1"
403,"",52,106,26.2,"","ABGR","L",5.7,39,93,"CO","","",""
403,"",53,128,5.5,"","PSME","L",7.6,,93,"CO","","","50-011-1"
403,"",58,140,16.5,"","LAOC","L",4.4,30,80,"CO","","",""
403,"",54,196,22.6,"","LAOC","L",4.8,35,80,"CO","","",""
403,"",55,275,20.6,"","PSME","L",8.7,37,93,"CO","","",""
403,"",56,308,19.8,"","PSME","L",6.9,34,93,"CO","","",""
403,"",57,347,13.4,"","PIPO","L",8.1,32,70,"CO","","",""
403,"5",501,92,4.9,"","PSME","L",0.5,6,80,"IN","","",""
403,"5",502,,,"","PICO","L",,2,60,"IN","","",""
403,"7",701,233,2.1,"","PSME","L",0.3,5,80,"IN","","",""
403,"7",702,,,"","PSME","L",,2,70,"IN","","",""
403,,,,,,,,,,,,,,
403,,,,,,,,,,,,,,
403,,,,,,,,,,,,,,
403,,,,,,,,,,,,,,
403,,,,,,,,,,,,,,
403,,,,,,,,,,,,,,
403,,,,,,,,,,,,,,
403,,,,,,,,,,,,,,
403,,,,,,,,,,,,,,
403,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
